"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix"
"H1: Multiple","Warning","Medium","19","2.950","Pages which have multiple <h1>s. While this is not strictly an issue because HTML5 standards allow multiple <h1>s on a page, there are some problems with this modern approach in terms of usability. It's advised to use heading rank (h1-h6) to convey document structure. The classic HTML4 standard defines there should only be a single <h1> per page, and this is still generally recommended for users and SEO.","Consider updating the HTML to include a single <h1> on each page, and utilising the full heading rank between (h2 - h6) for additional headings."
"JavaScript: H1 Updated by JavaScript","Warning","Medium","18","2.790","Pages that have h1s that are modified by JavaScript. This means the h1 in the raw HTML is different to the h1 in the rendered HTML.","While Google is able to render pages and see client-side only content, consider including important content server side in the raw HTML."
"H2: Missing","Warning","Low","37","5.740","Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.","Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page."
"Response Codes: Internal Blocked Resource","Warning","High","57","1.080","Internal resources (such as images, JavaScript and CSS) that are blocked by a site's robots.txt. This filter will only populate when JavaScript rendering is enabled (blocked resources will appear under 'Blocked by Robots.txt' in default 'text only' crawl mode). This can be an issue as the search engines might not be able to access critical resources to be able to render pages accurately.","Update the robots.txt to allow all critical resources to be crawled and used for rendering of website content."
"Links: Pages With High External Outlinks","Warning","Low","1","0.160","Pages that have a high number of followed external outlinks on them based upon the 'High External Outlinks' preferences under 'Config > Spider > Preferences'. External outlinks are hyperlinks to another subdomain or domain (depending on your configuration). This might be completely valid, such as linking to another part of the same root domain, or linking to other useful websites. External followed outlinks can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks' where the 'Follow' column is 'True'.","Review followed external outlinks to ensure they are to credible, trusted and relevant websites that are useful to your users."
"JavaScript: Contains JavaScript Links","Warning","Medium","640","99.220","Pages that contain hyperlinks that are only discovered in the rendered HTML after JavaScript execution. These hyperlinks are not in the raw HTML.","While Google is able to render pages and see client-side only links, consider including important links server side in the raw HTML."
"JavaScript: Pages with Blocked Resources","Warning","High","641","99.380","Pages with resources (such as images, JavaScript and CSS) that are blocked by robots.txt. This filter will only populate when JavaScript rendering is enabled (blocked resources will appear under 'Blocked by Robots.txt' in default 'text only' crawl mode). This can be an issue as the search engines might not be able to access critical resources to be able to render pages accurately.","Update the robots.txt to allow all critical resources to be crawled and used for rendering of the websites content. Resources that are not critical (e.g. Google Maps embed) can be ignored."
"JavaScript: H1 Only in Rendered HTML","Warning","Medium","98","15.190","Pages that contain an h1 only in the rendered HTML after JavaScript execution. This means a search engine must render the page to see it.","While Google is able to render pages and see client-side only content, consider including important content server side in the raw HTML."
"JavaScript: Contains JavaScript Content","Warning","Medium","316","48.990","Pages that contain body text that's only discovered in the rendered HTML after JavaScript execution.","While Google is able to render pages and see client-side only content, consider including important content server side in the raw HTML."
"H2: Non-Sequential","Warning","Low","97","15.040","Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>."
